2	1
4	1
4	2
9	7
11	4
12	4
12	9
12	10
13	4
15	4
16	4
17	4
19	18
20	19
21	20
22	4
23	4
24	4
26	4
28	4
29	4
30	4
30	29
31	4
31	29
32	7
33	27
34	4
34	5
35	4
35	10
35	12
36	4
36	27
37	4
37	14
38	4
40	39
41	4
41	41
42	41
43	4
44	9
45	4
47	29
47	30
48	4
48	13
48	24
48	28
48	34
49	4
49	13
49	24
49	28
49	34
50	36
50	48
51	36
51	48
52	47
53	52
54	29
54	31
54	40
54	43
54	53
55	4
56	4
57	45
57	57
58	45
58	58
59	17
60	4
65	64
66	25
66	38
67	36
68	68
69	68
70	34
70	36
71	16
74	4
74	10
75	4
76	18
76	19
76	20
76	21
77	37
78	4
79	4
80	4
80	78
80	79
81	80
82	70
83	10
83	12
83	35
84	47
87	4
87	29
87	85
87	86
88	54
89	54
89	88
90	4
90	11
92	4
93	4
93	14
93	37
93	76
93	77
95	94
96	94
97	8
97	94
97	95
97	96
98	4
101	7
101	82
102	14
102	77
103	48
103	49
105	102
106	54
107	4
107	54
107	72
107	106
107	107
108	4
108	82
109	4
110	4
110	64
111	4
111	72
112	54
113	4
113	64
113	72
113	112
114	2
114	4
115	4
117	4
117	116
118	47
119	118
120	4
121	4
121	50
121	51
122	5
123	123
124	48
124	49
125	4
125	10
125	12
126	4
126	10
127	50
127	51
128	4
128	128
130	4
130	50
130	51
130	64
130	99
130	129
131	4
132	82
133	48
133	49
134	4
135	102
136	83
137	4
139	138
140	4
140	46
140	58
140	71
140	93
140	109
140	140
141	50
141	51
143	67
144	4
144	50
144	51
144	99
146	20
146	110
147	146
148	4
148	18
148	19
148	20
148	21
148	73
148	76
148	140
148	147
149	47
149	54
150	54
151	149
151	150
153	153
154	62
155	54
156	155
156	156
157	4
157	52
157	54
157	157
158	4
158	52
158	71
158	99
158	100
158	157
159	4
160	4
161	4
161	87
162	4
163	4
163	54
164	4
164	163
164	164
165	16
165	37
165	92
165	162
165	165
166	54
167	4
167	63
167	85
167	166
168	50
168	51
169	169
170	65
171	4
172	26
173	12
174	4
175	61
176	175
177	4
178	134
178	160
178	172
179	4
180	175
180	176
180	177
180	180
181	90
182	4
183	4
184	4
185	4
185	12
185	82
186	54
187	4
187	186
187	187
188	104
189	132
190	63
191	4
191	6
191	7
191	64
191	82
191	108
191	128
191	185
192	4
193	4
193	66
193	67
193	70
194	3
194	4
194	5
194	41
194	70
194	194
195	83
195	170
196	48
197	48
197	49
197	196
198	4
199	4
199	145
200	47
201	4
202	36
202	48
202	121
202	127
202	130
202	141
202	144
202	168
203	50
203	51
203	202
204	4
204	170
204	183
204	195
205	4
206	4
207	4
207	11
208	4
209	140
209	209
210	93
210	148
211	87
212	87
213	87
213	212
214	87
214	211
215	4
215	87
215	211
215	212
215	213
215	214
216	1
216	4
216	85
217	4
217	107
218	4
218	15
218	91
218	217
219	1
219	4
219	15
219	29
219	176
219	218
220	4
220	148
221	4
222	4
222	85
222	86
223	4
223	222
224	4
224	165
225	4
225	37
225	162
225	165
227	4
227	44
227	62
227	152
227	170
227	173
227	226
227	227
228	4
229	4
229	52
230	76
230	93
230	140
230	148
231	4
231	115
232	4
232	231
233	16
235	4
235	48
235	49
235	234
236	60
236	66
236	67
237	50
237	51
237	202
238	178
239	4
239	29
239	47
240	239
241	52
242	241
243	76
244	48
244	49
245	54
246	4
246	245
246	246
247	4
248	4
249	4
249	37
249	93
249	165
249	225
250	4
251	4
251	54
252	4
252	54
252	67
252	143
252	251
253	4
253	70
254	57
255	4
255	82
255	189
255	191
256	4
256	76
256	77
256	93
256	142
256	148
256	178
256	209
256	220
256	230
257	57
257	159
257	184
257	255
258	4
258	191
259	4
259	170
260	26
260	140
260	178
260	256
261	251
262	38
262	107
262	146
263	4
263	194
264	1
265	4
